Accession	Length	Pred	Proportion	PhaMerScore	PhaMerConfidence	Lineage	PhaGCNScore	Genus	GenusCluster	TYPE	PhaTYPScore	Host	CHERRYScore	Method	Host_NCBI_lineage	Host_GTDB_lineage
NODE_18_length_622_cov_15.721340	622	virus	0.33	0.94	medium-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	-	singleton	virulent	0.71	species:Geobacillus zalihae	1	CRISPR-based (DB)	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Geobacillus;s__Geobacillus zalihae"	"d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Anoxybacillaceae;g__Geobacillus;s__Geobacillus zalihae"
NODE_18_length_694_cov_8.766823	694	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_18_length_708_cov_180.006126	708	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_18_length_743_cov_51.142442	743	virus	1	0.99	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_18_length_779_cov_73.738950	779	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_18_length_862_cov_251.313507	862	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_18_length_885_cov_2579.228916	885	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_18_length_971_cov_21092.084061	971	non-virus	0.5	0	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_19_length_542_cov_25.092402	542	virus	1	0.95	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Paclarkvirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Paclarkvirus	known_genus	temperate	1	species:Streptococcus oralis	0.95	CRISPR-based (DB)	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus oralis"	"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus oralis_AB"
NODE_19_length_543_cov_477.241803	543	non-virus	1	0.11	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_19_length_552_cov_11.867203	552	virus	1	1	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Pahexavirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Pahexavirus	known_genus	virulent	1	species:Cutibacterium avidum	1	CRISPR-based (DB)	"d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium avidum"	"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium avidum"
NODE_19_length_602_cov_391.197441	602	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_19_length_640_cov_1785.964103	640	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_19_length_684_cov_29.076312	684	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_19_length_684_cov_49.160572	684	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_19_length_692_cov_756.279435	692	virus	1	0.97	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_19_length_765_cov_149.815493	765	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_1_length_10440_cov_697.627155	10440	virus	1	1	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_1_length_1116_cov_121.521206	1116	non-virus	0.5	0	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_1_length_2364_cov_630.437852	2364	virus	0.67	0.98	high-confidence	"superkingdom:Viruses;clade:Riboviria;kingdom:Orthornavirae;phylum:Lenarviricota;class:Leviviricetes;order:Norzivirales;family:Fiersviridae;genus:Emesvirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Emesvirus	known_genus	virulent	0.8	species:activated sludge metagenome	1	AAI-based	-	-
NODE_1_length_2461_cov_389.278470	2461	virus	0.67	0.97	high-confidence	"superkingdom:Viruses;clade:Riboviria;kingdom:Orthornavirae;phylum:Lenarviricota;class:Leviviricetes;order:Norzivirales;family:Fiersviridae;genus:Emesvirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Emesvirus	known_genus	virulent	0.81	species:activated sludge metagenome	1	AAI-based	-	-
NODE_1_length_2689_cov_3722.475323	2689	virus	0.6	1	medium-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_1_length_2776_cov_122.857773	2776	virus	0.67	1	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_1_length_3225_cov_283.131861	3225	virus	0.5	1	medium-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_1_length_3231_cov_106.121537	3231	virus	1	0.99	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_1_length_4450_cov_267.874858	4450	virus	0.67	1	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_1_length_4641_cov_283.694941	4641	virus	1	0.99	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_1_length_877_cov_31.465937	877	virus	0.5	0.97	medium-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;family:Autographiviridae;subfamily:Corkvirinae;genus:Kotilavirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Kotilavirus	known_genus	virulent	0.79	genus:Eutrema	1	AAI-based	-	-
NODE_1_length_930_cov_420.244571	930	virus	1	1	high-confidence	"superkingdom:Viruses;clade:Riboviria;kingdom:Orthornavirae;phylum:Pisuviricota;class:Duplopiviricetes;order:Durnavirales;family:Partitiviridae"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	-	singleton	-	0	-	0	-	-	-
NODE_20_length_522_cov_24.601713	522	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_20_length_527_cov_10.512712	527	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_20_length_671_cov_56.003247	671	virus	1	0.51	medium-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;family:Herelleviridae;subfamily:Bastillevirinae;genus:Agatevirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Agatevirus	known_genus	virulent	0.56	species:Bacillus pumilus	1	AAI-based	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus pumilus"	Not found
NODE_20_length_755_cov_34.320000	755	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_20_length_842_cov_50.188056	842	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_20_length_866_cov_3049.821208	866	non-virus	0.25	0.11	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_21_length_514_cov_44.483660	514	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_21_length_520_cov_4.965591	520	virus	0.33	0.91	medium-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;family:Herelleviridae;subfamily:Twortvirinae;genus:Kayvirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Kayvirus	known_genus	virulent	0.79	genus:Staphylococcus	1	AAI-based	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus"	Not found
NODE_21_length_546_cov_43.977597	546	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_21_length_633_cov_1808.122837	633	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_21_length_655_cov_16.068333	655	non-virus	1	0	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_21_length_723_cov_58.335329	723	virus	1	1	high-confidence	"superkingdom:Viruses;clade:Riboviria"	"1.00;1.00;1.00;1.00;1.00;1.00"	-	singleton	-	0	-	0	-	-	-
NODE_21_length_739_cov_182.703216	739	non-virus	0.5	0.11	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_21_length_754_cov_31.781116	754	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_21_length_800_cov_7822.488591	800	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_22_length_500_cov_48.986517	500	non-virus	0.5	0.11	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_22_length_518_cov_11.658747	518	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_22_length_529_cov_42.018987	529	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_22_length_560_cov_4.978218	560	virus	1	0.72	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00"	NA	singleton	temperate	0.64	-	0	-	-	-
NODE_22_length_647_cov_76.596284	647	virus	1	0.99	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes"	"1.00;1.00;1.00;1.00;1.00;1.00"	-	singleton	temperate	1	-	0	-	-	-
NODE_22_length_716_cov_9.098336	716	non-virus	1	0	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_22_length_731_cov_170.926036	731	non-virus	0.5	0.11	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_22_length_752_cov_124.750359	752	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_22_length_768_cov_20143.962132	768	virus	0.5	0.95	medium-confidence	"superkingdom:Viruses;clade:Riboviria;kingdom:Orthornavirae;phylum:Lenarviricota;class:Leviviricetes;order:Norzivirales;family:Fiersviridae;genus:Emesvirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Emesvirus	known_genus	virulent	0.65	species:activated sludge metagenome	1	AAI-based	-	-
NODE_22_length_834_cov_164.130937	834	virus	0.5	0.97	medium-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;family:Autographiviridae;subfamily:Corkvirinae;genus:Kotilavirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Kotilavirus	known_genus	virulent	0.79	genus:Eutrema	1	AAI-based	-	-
NODE_23_length_522_cov_27.858672	522	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_23_length_606_cov_23391.181488	606	virus	0.5	0.95	medium-confidence	"superkingdom:Viruses;clade:Riboviria;kingdom:Orthornavirae;phylum:Lenarviricota;class:Leviviricetes;order:Norzivirales;family:Fiersviridae;genus:Emesvirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Emesvirus	known_genus	virulent	0.65	species:activated sludge metagenome	1	AAI-based	-	-
NODE_23_length_621_cov_22.471731	621	virus	1	0.66	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Rockefellervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Rockefellervirus	known_genus	temperate	0.51	species:Staphylococcus epidermidis	1	AAI-based	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis"	Not found
NODE_23_length_713_cov_35.920973	713	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_23_length_745_cov_113.847826	745	virus	0.5	0.5	medium-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	-	singleton	-	0	-	0	-	-	-
NODE_24_length_519_cov_24.525862	519	virus	1	0.92	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes"	"1.00;1.00;1.00;1.00;1.00;1.00"	-	singleton	temperate	1	-	0	-	-	-
NODE_24_length_540_cov_15.771134	540	virus	1	1	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Pahexavirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Pahexavirus	known_genus	virulent	1	species:Cutibacterium avidum	1	CRISPR-based (DB)	"d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium avidum"	"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium avidum"
NODE_24_length_616_cov_33.948307	616	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_24_length_637_cov_39.412371	637	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_24_length_676_cov_160.198068	676	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_24_length_690_cov_37.006299	690	virus	1	1	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes"	"1.00;1.00;1.00;1.00;1.00;1.00"	-	group_0	temperate	1	-	0	-	-	-
NODE_24_length_757_cov_1867.521368	757	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_24_length_765_cov_53.052113	765	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_25_length_512_cov_31.229759	512	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_25_length_517_cov_14.437229	517	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_25_length_554_cov_149.454910	554	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_25_length_618_cov_41.746004	618	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_25_length_682_cov_40.631579	682	non-virus	0.5	0	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_26_length_613_cov_128.532258	613	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_26_length_674_cov_257.657512	674	non-virus	1	0.06	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_26_length_688_cov_46.676145	688	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_26_length_716_cov_272.323752	716	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_27_length_500_cov_42.402247	500	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_27_length_613_cov_54.324373	613	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_27_length_639_cov_48.160959	639	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_27_length_649_cov_10.341751	649	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_27_length_651_cov_87.523490	651	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_28_length_546_cov_135.875764	546	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_28_length_610_cov_173.812613	610	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_28_length_648_cov_159.217538	648	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_29_length_545_cov_44.726531	545	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_29_length_625_cov_51.398246	625	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_29_length_648_cov_27.460371	648	virus	0.67	1	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Skunavirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Skunavirus	known_genus	virulent	1	genus:Lactococcus	1	AAI-based	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus"	Not found
NODE_29_length_649_cov_492.895623	649	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_2_length_1067_cov_123.003953	1067	virus	1	1	high-confidence	"superkingdom:Viruses;clade:Riboviria;kingdom:Orthornavirae;phylum:Pisuviricota;class:Duplopiviricetes;order:Durnavirales;family:Partitiviridae"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	-	singleton	-	0	-	0	-	-	-
NODE_2_length_1185_cov_29.742478	1185	virus	1	1	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;family:Herelleviridae;subfamily:Twortvirinae;genus:Sepunavirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sepunavirus	known_genus	virulent	1	genus:Staphylococcus	1	AAI-based	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus"	Not found
NODE_2_length_1190_cov_61.765639	1190	virus	0.8	1	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_2_length_1201_cov_25.100349	1201	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_2_length_1366_cov_39.996186	1366	virus	0.75	0.99	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.80;0.80"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_2_length_1442_cov_45.784427	1442	virus	0.67	1	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes"	"1.00;1.00;1.00;1.00;1.00;1.00"	-	singleton	temperate	1	-	0	-	-	-
NODE_2_length_1498_cov_57.246708	1498	virus	0.5	0.58	"low-confidence; please run contamination detection task"	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
